Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
03-08-2023,792.6407471,941.6861572,569.3289185,363.5319519,934.0303345,3158.277832,1268.054688,186.91745,1029.411133,1069.227783,1113.251343,1118.145142,1143.829102,3657.251953,4955.012207,19381.65039
04-08-2023,804.1021118,947.0532837,552.7456055,366.8744507,950.703186,3198.77832,1281.113525,191.2203064,1046.651978,1099.541748,1111.251099,1116.179321,1186.899902,3675.997803,4939.144531,19517
07-08-2023,803.6398315,952.0788574,547.5392456,365.4875793,945.861084,3236.399658,1294.72998,192.2960205,1052.55127,1107.447876,1132.569824,1112.4552,1200.537354,3838.087891,4972.962891,19597.30078
08-08-2023,802.9828491,956.2262573,552.5527954,364.7791748,951.3521118,3223.906494,1292.127563,194.7280731,1043.908203,1127.797607,1120.715454,1117.838867,1242.528809,3775.126465,4981.838867,19570.84961
09-08-2023,803.2747803,957.0133057,553.1795044,365.4775696,948.4568481,3216.381836,1296.03125,195.40625,1046.469116,1148.942749,1124.764526,1159.931152,1242.136475,3668.440674,4940.186035,19632.55078
10-08-2023,796.1448364,948.552002,553.0830688,359.3613892,938.2234497,3197.431641,1291.105103,195.8038025,1037.459961,1156.240479,1122.325195,1156.009399,1235.170532,3676.095947,4881.821777,19543.09961
11-08-2023,787.8468628,937.4833984,553.5651855,357.4855652,935.6776123,3203.655029,1275.072021,193.1846619,1071.438354,1141.878418,1104.811646,1150.447754,1226.585693,3640.131348,4865.606934,19428.30078
14-08-2023,784.0020752,944.0753784,540.6937866,358.0143738,938.4231567,3204.631104,1295.241211,194.1668396,1071.026855,1141.223633,1106.665405,1150.516968,1212.261597,3690.986572,4781.012695,19434.55078
16-08-2023,781.7145996,941.0745239,545.0806274,356.4379272,931.5343018,3212.572998,1318.431152,195.8038025,1076.651367,1148.802246,1115.836914,1157.333008,1220.061523,3672.732422,4901.061035,19465
17-08-2023,777.3831787,936.3027954,551.6368408,352.347168,935.0286865,3191.532715,1311.971436,195.2893372,1076.240112,1152.451172,1116.959106,1161.837646,1217.55957,3615.990234,4852.317871,19365.25
18-08-2023,774.1953125,935.3189087,552.4082031,349.3738098,941.5181274,3127.762939,1290.826172,192.5532684,1073.49646,1132.849976,1107.299805,1160.612793,1213.046509,3616.138672,4817.145508,19310.15039
21-08-2023,773.5869141,939.7955322,551.2030029,351.279541,951.0525513,3159.856934,1306.255127,193.9096069,1078.572388,1140.381836,1109.73877,1167.804321,1210.495605,3626.378906,4900.90332,19393.59961
22-08-2023,770.2775269,936.6471558,548.1176758,351.8282776,955.4953613,3141.74292,1304.721558,195.0788727,1078.801147,1135.095459,1109.885254,1170.708496,1197.937378,3614.506104,4887.986816,19396.44922
23-08-2023,772.1755371,951.2576294,556.2165527,355.2106934,977.6593018,3156.698486,1308.625244,194.213623,1081.544922,1123.680908,1096.37207,1176.20105,1207.405151,3664.866211,4913.77002,19444
24-08-2023,768.6228027,953.3237915,556.2647705,355.3902893,979.7558594,3146.94458,1323.171265,193.0209961,1071.255371,1121.903076,1091.103516,1167.073364,1197.446777,3625.389648,4888.284668,19386.69922
25-08-2023,759.9597778,954.7504272,549.5157471,354.9712219,981.5030518,3140.953369,1319.918091,191.6178741,1055.432373,1112.921143,1079.395386,1141.804077,1186.556519,3597.933838,4834.185059,19265.80078
